,DATE_year,DATE_month,DATE_week,DATE_day,Hour,Minute,Temp(K),Humidity%,Pressure(atm),wind,Street (Coded),disposition
1081,0.5999999999999659,0.8181818181818182,0.75,0.06666666666666668,0.7391304347826086,0.5084745762711864,0.4795152914021932,0.9125000000000001,0.2982456140350873,0.3076923076923077,0.3157894736842105,0
1082,0.5999999999999659,0.8181818181818182,0.75,0.1,1.0,0.0,0.7491825351029044,0.45000000000000007,0.28947368421052566,0.46153846153846156,0.6842105263157894,0
1083,0.5999999999999659,0.8181818181818182,0.7692307692307693,0.13333333333333333,0.8260869565217391,0.0847457627118644,0.7726485862665902,0.4125000000000001,0.3157894736842106,0.15384615384615385,0.7368421052631579,1
1084,0.5999999999999659,0.8181818181818182,0.7692307692307693,0.16666666666666669,0.0,0.5084745762711864,0.7114829774956721,0.65,0.30701754385964897,0.15384615384615385,0.7368421052631579,1
1085,0.5999999999999659,0.8181818181818182,0.7692307692307693,0.2,0.6956521739130435,0.0,0.6828236199269089,0.9125000000000001,0.33333333333333215,0.07692307692307693,0.47368421052631576,0
1086,0.5999999999999659,0.8181818181818182,0.7692307692307693,0.2,0.7391304347826086,0.0,0.723216003077515,0.5,0.3245614035087705,0.07692307692307693,0.21052631578947367,0
1087,0.5999999999999659,0.8181818181818182,0.7692307692307693,0.23333333333333334,0.6521739130434783,0.5084745762711864,0.6909200076937871,0.6125,0.2982456140350873,0.15384615384615385,0.0,2
1088,0.5999999999999659,0.8181818181818182,0.7692307692307693,0.26666666666666666,0.8260869565217391,0.0,0.6632044623966147,0.5375000000000001,0.30701754385964897,0.6153846153846154,0.5789473684210527,0
1089,0.5999999999999659,0.8181818181818182,0.7692307692307693,0.3333333333333333,0.8695652173913043,0.0,0.7628390075014426,0.0625,0.24561403508771917,0.38461538461538464,0.7368421052631579,0
1090,0.5999999999999659,0.8181818181818182,0.7884615384615384,0.3666666666666667,0.6086956521739131,0.0,0.6620503943065978,0.4375,0.18421052631578938,0.38461538461538464,0.7368421052631579,4
1091,0.5999999999999659,0.8181818181818182,0.7884615384615384,0.3666666666666667,0.8695652173913043,0.0,0.782650509713406,0.30000000000000004,0.15789473684210442,0.3076923076923077,0.6842105263157894,1
1092,0.5999999999999659,0.8181818181818182,0.7884615384615384,0.3666666666666667,0.9565217391304348,0.9322033898305084,0.7668782458165033,0.3375,0.15789473684210442,0.3076923076923077,0.7368421052631579,0
1093,0.5999999999999659,0.8181818181818182,0.7884615384615384,0.4,0.6521739130434783,0.15254237288135594,0.5656857087901521,0.42500000000000004,0.2017543859649109,0.46153846153846156,0.6842105263157894,0
1094,0.5999999999999659,0.8181818181818182,0.7884615384615384,0.43333333333333335,0.7826086956521738,0.5084745762711864,0.6470171994614367,0.275,0.27192982456140236,0.46153846153846156,0.10526315789473684,0
1095,0.5999999999999659,0.8181818181818182,0.7884615384615384,0.5666666666666667,0.08695652173913043,0.0,0.386011352183111,0.45000000000000007,0.42982456140350855,0.15384615384615385,0.7368421052631579,5
1096,0.5999999999999659,0.8181818181818182,0.7884615384615384,0.5666666666666667,1.0,0.4067796610169492,0.5030107347566855,0.2875,0.47368421052631504,0.07692307692307693,0.7368421052631579,4
1097,0.5999999999999659,0.8181818181818182,0.8076923076923077,0.6333333333333333,0.6956521739130435,0.0,0.6534487170609733,0.17500000000000004,0.35087719298245545,0.5384615384615385,0.10526315789473684,0
1098,0.5999999999999659,0.8181818181818182,0.8076923076923077,0.6666666666666666,0.7391304347826086,0.0,0.7270628967109065,0.3125,0.35087719298245545,0.46153846153846156,0.0,0
