,Description,DATE_year,DATE_month,DATE_day,Hour
346,heavy intensity rain,2012,10,15,23
347,overcast clouds,2012,10,16,0
348,overcast clouds,2012,10,16,1
349,overcast clouds,2012,10,16,2
350,overcast clouds,2012,10,16,3
351,overcast clouds,2012,10,16,4
352,overcast clouds,2012,10,16,5
353,overcast clouds,2012,10,16,6
354,overcast clouds,2012,10,16,7
355,overcast clouds,2012,10,16,8
356,overcast clouds,2012,10,16,9
357,overcast clouds,2012,10,16,10
358,overcast clouds,2012,10,16,11
359,sky is clear,2012,10,16,12
360,broken clouds,2012,10,16,13
361,sky is clear,2012,10,16,14
362,sky is clear,2012,10,16,15
363,sky is clear,2012,10,16,16
364,sky is clear,2012,10,16,17
365,sky is clear,2012,10,16,18
366,few clouds,2012,10,16,19
367,scattered clouds,2012,10,16,20
368,scattered clouds,2012,10,16,21
369,scattered clouds,2012,10,16,22
370,sky is clear,2012,10,16,23
371,sky is clear,2012,10,17,0
372,sky is clear,2012,10,17,1
373,sky is clear,2012,10,17,2
374,sky is clear,2012,10,17,3
375,sky is clear,2012,10,17,4
376,sky is clear,2012,10,17,5
377,sky is clear,2012,10,17,6
378,sky is clear,2012,10,17,7
379,sky is clear,2012,10,17,8
380,sky is clear,2012,10,17,9
381,sky is clear,2012,10,17,10
382,sky is clear,2012,10,17,11
383,light rain,2012,10,17,12
384,sky is clear,2012,10,17,13
385,sky is clear,2012,10,17,14
386,sky is clear,2012,10,17,15
387,sky is clear,2012,10,17,16
388,sky is clear,2012,10,17,17
389,sky is clear,2012,10,17,18
390,sky is clear,2012,10,17,19
391,sky is clear,2012,10,17,20
392,sky is clear,2012,10,17,21
393,sky is clear,2012,10,17,22
394,scattered clouds,2012,10,17,23
395,broken clouds,2012,10,18,0
396,broken clouds,2012,10,18,1
397,scattered clouds,2012,10,18,2
398,broken clouds,2012,10,18,3
399,broken clouds,2012,10,18,4
400,broken clouds,2012,10,18,5
401,overcast clouds,2012,10,18,6
402,broken clouds,2012,10,18,7
403,broken clouds,2012,10,18,8
404,broken clouds,2012,10,18,9
405,scattered clouds,2012,10,18,10
406,few clouds,2012,10,18,11
407,few clouds,2012,10,18,12
408,scattered clouds,2012,10,18,13
409,scattered clouds,2012,10,18,14
410,broken clouds,2012,10,18,15
411,broken clouds,2012,10,18,16
412,broken clouds,2012,10,18,17
413,overcast clouds,2012,10,18,18
414,thunderstorm with rain,2012,10,18,19
415,overcast clouds,2012,10,18,20
416,thunderstorm with rain,2012,10,18,21
417,light rain,2012,10,18,22
418,proximity thunderstorm,2012,10,18,23
