OBJECTID,UCR,CRIME,DATE_,TIME,CASE,ADDRESS,BEAT,X_COORD,Y_COORD
82973,235,Over 200$,9/3/2014,16:00,D140093889A,11300 STONYBROOK DR,NE60,243331.77,1660833.52
82974,235,Over 200$,9/10/2014,0:01,D140096162A,838 BLAKE STREET,DT10,185731.78,1650541.41
82975,235,Over 200$,9/11/2014,8:00,D140098158A,1126 KESSLER BOULEVARD,ND50,195319.87,1680883.03
82976,235,Over 200$,9/12/2014,7:00,D140096706A,5458 N MICHIGAN RD,NW60,180204.44,1676721.76
82977,235,Over 200$,9/16/2014,9:58,D140098168A,1201 INDIANA AVE,NW10,184127.03,1652330.23
82978,235,Over 200$,9/20/2014,17:00,D140099908A,936 VIRGINIA AVE,SE10,194370.54,1641594.7
82979,235,Over 200$,9/20/2014,19:00,D140100431A,865 MASSACHUSETTS AVE,DT20,194172.95,1650558.4
82980,235,Over 200$,9/22/2014,17:15,D140100624A,404 E 38TH ST,ND10,192083.69,1667333.16
82981,235,Over 200$,9/23/2014,11:32,D140100849A,1216 KAPPES ST,SW20,179683.96,1640332.79
82982,235,Over 200$,9/24/2014,17:00,D140101667A,1201 INDIANA AVE,NW10,184127.03,1652330.23
82983,235,Over 200$,9/25/2014,11:34,D140101670A,8176 CENTURY CR W,ND70,181080.28,1696107.73
82984,235,Over 200$,9/25/2014,23:00,D140102105A,531 VIRGINIA AVE,DT40,192971.86,1643352.39
82985,235,Over 200$,9/28/2014,18:30,D140103031A,635 MASSACHUSETTS AVE,DT20,192879.05,1649437.25
82986,235,Over 200$,9/29/2014,13:53,D140103196A,1924 W MICHIGAN ST,SW10,179668.9,1649172.26
82987,235,Over 200$,9/29/2014,20:00,D140104272A,818 CHRISTIAN PL,DT20,191439.69,1650376.76
82988,235,Over 200$,9/29/2014,22:00,D140103577A,1018 LAUREL ST,SE10,196157.35,1641206.69
82989,235,Over 200$,10/5/2014,10:00,D140105568A,127 S ILLINOIS ST,DT30,189502.28,1645430.3
82990,235,Over 200$,10/6/2014,13:30,D140105881A,721 E NORTH ST,DT20,193753.66,1649152.77
82991,235,Over 200$,10/6/2014,16:03,D140105827A,1162 N LIVINGSTON,SW10,171543.76,1652247.41
82992,235,Over 200$,10/6/2014,19:22,D140105934A,3159 N PENNSYLVANIA ST,ND10,191082.43,1663042.2
82993,235,Over 200$,10/8/2014,11:00,D140106502A,1435 N ILLINOIS ST,NW10,189691.6,1653257.78
82994,235,Over 200$,10/12/2014,18:00,D140108058A,3737 LICKRIDGE LN S,SE30,205177.61,1622346.23
82995,235,Over 200$,10/14/2014,19:07,D140108849A,415 N WALCOTT ST,NE20,198062.63,1648072.39
