OBJECTID,UCR,CRIME,DATE_,TIME,CASE,ADDRESS,BEAT,DIST,AT,,X_COORD,Y_COORD
55272,245,50$ to 200$,9/1/2008,0:01,080139317I,01629 W 59TH ST,ND74,ND,74,,181459.71,1680523
55273,245,50$ to 200$,9/2/2008,0:01,080140071I,03608 EISENHOWER DR,NW32,NW,32,,161896.53,1665506.28
55274,245,50$ to 200$,9/2/2008,0:01,080140042I,05526 YUCATAN DR,SE43,SE,43,,213877.07,1618585.44
55275,245,50$ to 200$,9/3/2008,9:30,080140311I,02525 N SHADELAND AV,NE33,NE,33,,221631.35,1659466.78
55276,245,50$ to 200$,9/4/2008,16:42,080141194I,05959 N MICHIGAN RD,ND74,ND,74,,178792.08,1680688.06
55277,245,50$ to 200$,9/6/2008,9:00,080142292I,05120 SOUTHGREEN DR,SE51,SE,51,,193322.55,1618689.85
55278,245,50$ to 200$,9/6/2008,23:00,080142663I,03613 CLIFTON ST,NW14,NW,14,,183764.41,1664746.45
55279,245,50$ to 200$,9/7/2008,14:30,080142817I,01718 S EAST ST,SE21,SE,21,,192307.39,1637881.5
55280,245,50$ to 200$,9/8/2008,0:01,080143210I,01429 LAWTON AV,SE23,SE,23,,196462.58,1637532.43
55281,245,50$ to 200$,9/8/2008,1:00,080143367I,07259 SUNDANCE DR,SE54,SE,54,,209362.7,1607714.24
55282,245,50$ to 200$,9/8/2008,11:24,080143184I,00236 JEFFERSON AV,NE23,NE,23,,199442.7,1647426.01
55283,245,50$ to 200$,9/10/2008,10:45,080144423I,07228 RUE DE MARGOT DR,ND74,ND,74,,177757.92,1689222.07
55284,245,50$ to 200$,9/11/2008,1:00,080145189I,05247 BROOKVILLE RD,SE41,SE,41,,211914.04,1644015.04
55285,245,50$ to 200$,9/11/2008,18:30,080145359I,04734 SANDPEBBLE CT,SW72,SW,72,,164409.41,1620235.66
55286,245,50$ to 200$,9/12/2008,0:44,080145456I,E 38TH ST & N FRANKLIN RD,NE71,NE,71,,226894.69,1667437.85
55287,245,50$ to 200$,9/12/2008,2:30,080145569I,05901 E WASHINGTON ST,NE54,NE,54,,215994.25,1647526.15
55288,245,50$ to 200$,9/14/2008,10:00,080147439I,00600 N ALABAMA ST,DT21,DT,21,,191556.97,1649260.35
55289,245,50$ to 200$,9/17/2008,12:24,080148486I,01723 WOODRUFF PL CRS DR,NE22,NE,22,,197919.36,1650075
55290,245,50$ to 200$,9/17/2008,13:00,080148820I,00040 E ST CLAIR ST,DT21,DT,21,,190287.76,1650220.17
55291,245,50$ to 200$,9/17/2008,17:00,080148753I,03126 ALLISON AV,NW33,NW,33,,164618.96,1662630.8
55292,245,50$ to 200$,9/18/2008,10:48,080000771C,00389 ARTHUR ST,NE63,NE,63,,243146.62,1650301.85
55293,245,50$ to 200$,9/18/2008,15:00,080145206I,01820 E 10TH ST,NE21,NE,21,,198280.51,1651383.53
55294,245,50$ to 200$,9/18/2008,22:20,080149511I,00611 N CAPITOL AV,DT12,DT,12,,189057.08,1649458.19
55295,245,50$ to 200$,9/19/2008,0:01,080150005I,10708 INSPIRATION DR,SE44,SE,44,,240870.9,1602768.89
55296,245,50$ to 200$,9/19/2008,10:30,080149757I,E 54TH ST & MONON TR,ND51,ND,51,,195009.94,1676820.72
55297,245,50$ to 200$,9/21/2008,14:00,080152418I,00526 N SOMERSET AV,SW11,SW,11,,172025.34,1648940.18
55298,245,50$ to 200$,9/21/2008,14:36,080150913I,00410 EASTERN AV,NE23,NE,23,,201295.04,1648422.91
55299,245,50$ to 200$,9/22/2008,7:00,080151654I,08107 FOUNTAINHEAD DR,ND71,ND,71,,180377.97,1695494.45
55300,245,50$ to 200$,9/23/2008,15:00,080152901I,06447 DENVER DR,SW71,SW,71,,157661.11,1621129.47
55301,245,50$ to 200$,9/24/2008,15:00,080154107I,07601 MARY LN,SW74,SW,74,,187355.38,1605771.99
55302,245,50$ to 200$,9/24/2008,19:48,080153013I,01001 W 10TH ST,DT11,DT,11,,184943.03,1651298.34
55303,245,50$ to 200$,9/25/2008,9:54,080153292I,01007 E 86TH ST,ND72,ND,72,,195066.23,1699155.45
55304,245,50$ to 200$,9/25/2008,22:00,080154606I,00403 W VERMONT ST,DT13,DT,13,,187829.6,1648359.85
55305,245,50$ to 200$,9/26/2008,17:56,080154189I,03569 BEARWOOD DR,NE73,NE,73,,243310.79,1666204.32
55306,245,50$ to 200$,9/27/2008,0:01,080154550J,01300 LASALLE ST,NE21,NE,21,,203550.76,1652527.99
55307,245,50$ to 200$,9/27/2008,16:00,080157584I,00062 BAKEMEYER ST,SW23,SW,23,,189440.16,1632200.03
