OBJECTID,UCR,CRIME,DATE_,TIME,CASE,ADDRESS,BEAT,DIST,AT,,X_COORD,Y_COORD
63479,255,Under 50$,6/7/2008,21:10,080088492I,03260 S LYONS AV,SW72,SW,72,,168648.82,1627617.85
63480,255,Under 50$,6/11/2008,9:30,080090457I,02999 N ILLINOIS ST,NW12,NW,12,,189773.85,1661910.11
63481,255,Under 50$,6/16/2008,22:00,080093654I,00765 ARNOLDA AV,SW11,SW,11,,175509.45,1650001.72
63482,255,Under 50$,6/26/2008,0:01,080099853I,00808 ARBOR AV,SW22,SW,22,,182601.38,1642466.56
63483,255,Under 50$,7/23/2008,0:15,080114923I,02202 BROADWAY ST,NE11,NE,11,,193279.35,1657369.26
63484,255,Under 50$,7/26/2008,12:00,080117493J,06525 W MILLS AV,SW71,SW,71,,157214.66,1622857.13
63485,255,Under 50$,7/30/2008,12:00,080119889I,01200 W WASHINGTON ST,SW13,SW,13,,183439.29,1645714.59
63486,255,Under 50$,8/13/2008,12:55,080000663C,00130 HUGO ST,NE63,NE,63,,243911.76,1649616.46
63487,255,Under 50$,8/31/2008,1:00,080139158I,00116 WALLACE AV,NE53,NE,53,,209417.69,1647803.14
63488,255,Under 50$,9/3/2008,0:01,080140261I,01366 W COUNTY LINE RD,SW74,SW,74,,182936.02,1598049.36
63489,255,Under 50$,9/5/2008,22:30,080142171I,01416 N LASALLE ST,NE21,NE,21,,203552.41,1653338.18
63490,255,Under 50$,9/10/2008,23:58,080145825I,00420 S BRADLEY AV,SE13,SE,13,,205997.04,1644019.88
63491,255,Under 50$,9/24/2008,8:25,080152586I,07430 ROCKVILLE RD,SW81,SW,81,,152243.07,1645452.17
63492,255,Under 50$,9/24/2008,15:00,080152858I,E 9TH ST & N HAMILTON AV,NE23,NE,23,,199289.53,1650698.6
63493,255,Under 50$,9/26/2008,17:48,080154217I,00967 N PENNSYLVANIA ST,DT21,DT,21,,190644.98,1651211.51
63494,255,Under 50$,10/11/2008,19:00,080162810I,00753 ARNOLDA AV,SW11,SW,11,,175500.55,1649961.51
63495,255,Under 50$,10/30/2008,0:01,080172953I,00609 E 10TH ST,DT22,DT,22,,193038.35,1651176.38
63496,255,Under 50$,11/6/2008,22:45,080177216I,00222 E MICHIGAN ST,DT21,DT,21,,191261.92,1648766.08
